epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2064.67,0.84694,0.44521,1.4325,0.90722,0.96463,0.98174,0.76208,0.78948,0.30678,1.56477,0.00974557,0.00974557,0.00974557
43,2113.37,0.85568,0.43769,1.43103,0.95345,0.96605,0.9865,0.78249,0.76979,0.29056,1.54961,0.00973312,0.00973312,0.00973312
44,2161.91,0.84639,0.42452,1.43295,0.95417,0.95698,0.98045,0.77244,0.77382,0.28993,1.53606,0.00972039,0.00972039,0.00972039
45,2209.71,0.84652,0.42943,1.43595,0.96101,0.96271,0.98628,0.77891,0.77378,0.28804,1.54399,0.00970736,0.00970736,0.00970736
46,2257.54,0.83569,0.42499,1.42111,0.94741,0.98,0.98848,0.7828,0.77473,0.28248,1.54261,0.00969405,0.00969405,0.00969405
47,2306.28,0.82924,0.42138,1.40776,0.95042,0.95935,0.98042,0.77138,0.77772,0.30732,1.55557,0.00968045,0.00968045,0.00968045
48,2354.06,0.82323,0.42084,1.40924,0.95038,0.97488,0.98591,0.78389,0.75864,0.27498,1.53666,0.00966656,0.00966656,0.00966656
49,2402.61,0.83061,0.41045,1.40681,0.96221,0.96684,0.98348,0.78941,0.7438,0.27083,1.51095,0.00965239,0.00965239,0.00965239
50,2451.15,0.82515,0.42003,1.40935,0.92414,0.94878,0.97548,0.77932,0.75178,0.33177,1.52825,0.00963794,0.00963794,0.00963794
51,2499,0.82589,0.43142,1.40834,0.96064,0.93274,0.98372,0.77811,0.76266,0.30675,1.52769,0.0096232,0.0096232,0.0096232
52,2546.93,0.79495,0.40973,1.37343,0.95014,0.96496,0.98722,0.77498,0.76989,0.30352,1.5596,0.00960819,0.00960819,0.00960819
53,2594.77,0.80937,0.40804,1.40427,0.9588,0.9728,0.98856,0.7946,0.74099,0.27559,1.50683,0.00959289,0.00959289,0.00959289
54,2643.37,0.79785,0.40236,1.39009,0.96747,0.96475,0.98889,0.78488,0.75704,0.25997,1.54178,0.00957731,0.00957731,0.00957731
55,2691.24,0.79223,0.39439,1.38256,0.94249,0.97443,0.98739,0.78979,0.75439,0.26684,1.51436,0.00956145,0.00956145,0.00956145
56,2739.24,0.80739,0.40696,1.40765,0.96437,0.97495,0.98596,0.78808,0.74542,0.26763,1.51569,0.00954531,0.00954531,0.00954531
57,2787.1,0.79585,0.38989,1.37606,0.9488,0.9596,0.98024,0.77623,0.75325,0.27412,1.51843,0.00952889,0.00952889,0.00952889
58,2834.95,0.78869,0.39821,1.37,0.96119,0.97348,0.98779,0.79233,0.74957,0.27039,1.52432,0.0095122,0.0095122,0.0095122
59,2882.82,0.78401,0.39781,1.37818,0.96506,0.97507,0.98724,0.79344,0.72348,0.25844,1.49096,0.00949524,0.00949524,0.00949524
60,2930.81,0.78587,0.3901,1.37429,0.96553,0.97994,0.98855,0.80223,0.72368,0.25646,1.49577,0.009478,0.009478,0.009478
61,2979.45,0.77553,0.38297,1.35698,0.94933,0.96678,0.98443,0.78489,0.7384,0.26138,1.50747,0.00946048,0.00946048,0.00946048
62,3027.3,0.76949,0.39428,1.37101,0.912,0.97717,0.98082,0.7932,0.7097,0.26691,1.48181,0.0094427,0.0094427,0.0094427
63,3075.21,0.76961,0.37311,1.36758,0.96456,0.96361,0.98701,0.79786,0.73192,0.26434,1.49617,0.00942464,0.00942464,0.00942464
64,3123.3,0.76412,0.38119,1.35538,0.96552,0.97238,0.9886,0.79889,0.71807,0.25686,1.4967,0.00940631,0.00940631,0.00940631
65,3173.71,0.76381,0.372,1.34958,0.93233,0.96867,0.98158,0.79183,0.71189,0.2696,1.48164,0.00938772,0.00938772,0.00938772
66,3224.13,0.76148,0.3758,1.35465,0.95105,0.95174,0.98378,0.79805,0.71623,0.26855,1.48337,0.00936886,0.00936886,0.00936886
67,3274.61,0.74925,0.36302,1.34012,0.97322,0.96242,0.98805,0.79833,0.73184,0.25865,1.51037,0.00934973,0.00934973,0.00934973
68,3325.22,0.75098,0.36966,1.3445,0.96763,0.96245,0.9856,0.80342,0.71751,0.25289,1.47702,0.00933033,0.00933033,0.00933033
69,3376.43,0.73981,0.3649,1.34685,0.9589,0.96114,0.98331,0.79144,0.72962,0.27057,1.49414,0.00931067,0.00931067,0.00931067
70,3426.93,0.74648,0.3718,1.34122,0.97476,0.97207,0.9878,0.80226,0.71231,0.25048,1.47369,0.00929075,0.00929075,0.00929075
71,3477.3,0.74334,0.37041,1.34441,0.94424,0.97565,0.98164,0.79144,0.71722,0.27224,1.4813,0.00927057,0.00927057,0.00927057
72,3527.62,0.72812,0.3571,1.33102,0.97265,0.97571,0.98795,0.79664,0.72275,0.24742,1.4947,0.00925013,0.00925013,0.00925013
73,3578,0.72165,0.34955,1.33287,0.96777,0.97224,0.98742,0.803,0.70399,0.25241,1.46591,0.00922942,0.00922942,0.00922942
74,3628.16,0.74159,0.3694,1.33511,0.96564,0.97572,0.98636,0.8028,0.70383,0.24383,1.45562,0.00920846,0.00920846,0.00920846
75,3678.41,0.72045,0.35623,1.31424,0.96561,0.95554,0.98752,0.79589,0.71092,0.26292,1.48182,0.00918725,0.00918725,0.00918725
76,3728.76,0.72828,0.3524,1.33805,0.97251,0.96873,0.98785,0.79857,0.69884,0.25373,1.45848,0.00916577,0.00916577,0.00916577
77,3779.31,0.72733,0.35014,1.33649,0.96001,0.97783,0.98821,0.81365,0.68918,0.24641,1.44976,0.00914405,0.00914405,0.00914405
78,3830.55,0.70397,0.34711,1.30036,0.94779,0.9823,0.98799,0.80194,0.71374,0.25123,1.48648,0.00912207,0.00912207,0.00912207
79,3881.03,0.69295,0.3364,1.29615,0.96954,0.97682,0.98707,0.80966,0.69026,0.24424,1.48012,0.00909984,0.00909984,0.00909984
80,3931.5,0.70614,0.34576,1.31817,0.97107,0.97143,0.99014,0.80334,0.71635,0.2475,1.48647,0.00907736,0.00907736,0.00907736
81,3982.15,0.71112,0.35749,1.30154,0.9715,0.96961,0.98639,0.79559,0.6997,0.2443,1.46958,0.00905463,0.00905463,0.00905463
82,4032.78,0.70438,0.34882,1.31703,0.97762,0.97187,0.98932,0.8112,0.69264,0.24162,1.46816,0.00903166,0.00903166,0.00903166
83,4083.11,0.69518,0.33858,1.30498,0.97971,0.97693,0.99169,0.81157,0.69775,0.23355,1.45811,0.00900844,0.00900844,0.00900844
